,Lemme,Forme_originale,Categorie,Longueur,Frequence
802,organisation,organisation,Nom,12,13
3879,collectivite,collectivite,Nom,12,13
2723,professionnel,professionnels,Adjectif,13,13
4332,presidentielle,presidentielles,Adjectif,14,13
3265,vite,vite,Adverbe,4,12
6474,disai,disais,Nom,5,12
503,lancer,lancer,Verbe,6,12
1211,facile,facile,Adjectif,6,12
1608,servir,sert,Verbe,6,12
2686,proche,proches,Adjectif,6,12
4423,demain,demain,Adverbe,6,12
2125,sembler,semble,Verbe,7,12
2784,obliger,oblige,Verbe,7,12
3093,societe,societe,Verbe,7,12
9974,assurer,assure,Verbe,7,12
321,regional,regionale,Adjectif,8,12
1179,remonter,remonter,Verbe,8,12
1492,echanger,echanger,Verbe,8,12
123,numerique,numeriques,Adjectif,9,12
811,thematiqu,thematique,Adjectif,9,12
2767,attention,attention,Nom,9,12
461,associatif,associatif,Adjectif,10,12
5733,extremement,extremement,Adverbe,11,12
1692,traditionnel,traditionnel,Adjectif,12,12
6129,presidentiell,presidentielle,Adjectif,13,12
127,tete,tete,Nom,4,11
711,lieu,lieu,Nom,4,11
1851,hein,hein,Adjectif,4,11
3851,etat,etat,Nom,4,11
3883,voix,voix,Nom,4,11
97,tract,tracts,Nom,5,11
433,souci,soucis,Nom,5,11
2958,pense,pense,Nom,5,11
9199,gerer,gerer,Verbe,5,11
1059,commun,commun,Adjectif,6,11
1798,comite,comite,Nom,6,11
11020,conner,connait,Verbe,6,11
15512,putain,putain,Nom,6,11
1678,twitter,twitter,Adjectif,7,11
2504,choisir,choisir,Verbe,7,11
2974,certain,certains,Adjectif,7,11
3578,deuxiem,deuxieme,Adjectif,7,11
4416,machine,machine,Nom,7,11
14535,marrant,marrant,Adjectif,7,11
245,physique,physique,Adjectif,8,11
475,investir,investi,Verbe,8,11
980,possible,possible,Adjectif,8,11
1773,attendre,attendant,Verbe,8,11
5582,dimanche,dimanche,Nom,8,11
7190,importer,importe,Verbe,8,11
99,rencontre,rencontre,Verbe,9,11
192,interesse,interesse,Verbe,9,11
2461,impression,impression,Nom,10,11
7839,plateforme,plateforme,Nom,10,11
8450,disponible,disponible,Adjectif,10,11
1097,departement,departement,Nom,11,11
2701,communicant,communicant,Nom,11,11
